1	99	111
2	101	113
3	103	115
4	97	109
5	73	85
6	105	117
7	107	119
8	109	121
9	100	112
10	102	114
11	104	116
12	65	77
13	112	124
14	106	118
15	108	120
16	110	122
17	98	110
18	70	82
19	68	80
20	67	79
21	77	89
22	75	87
23	78	90
24	80	92
25	71	83
26	66	78
27	69	81
28	72	84
29	76	88
30	74	86
31	79	91
32	111	123
33	7	19
34	35	47
35	37	49
36	36	48
37	46	58
38	44	56
39	42	54
40	47	59
41	34	46
42	39	51
43	38	50
44	33	45
45	45	57
46	43	55
47	41	53
48	10	22
49	6	18
50	4	16
51	2	14
52	8	20
53	48	60
54	16	28
55	14	26
56	12	24
57	5	17
58	3	15
59	1	13
60	40	52
61	9	21
62	15	27
63	13	25
64	11	23
